[00:00:02] [Server thread/INFO]: [STDOUT]: minecraft:bat; HealthFactor: 3.01; DamageFactor: 3.01; Health: 17.9;  Old Health: 6.0; Default HP: 6.0
[00:00:02] [Server thread/INFO]: [STDOUT]: minecraft:bat; HealthFactor: 3.01; DamageFactor: 3.01; Health: 18.06;  Old Health: 6.0; Default HP: 6.0
[00:00:02] [Server thread/INFO]: [STDOUT]: minecraft:bat; HealthFactor: 3.02; DamageFactor: 3.02; Health: 17.46;  Old Health: 6.0; Default HP: 6.0
[00:00:03] [Server thread/INFO]: [STDOUT]: minecraft:zombie; HealthFactor: 3.0; DamageFactor: 3.0; Health: 60.0;  Old Health: 20.0; Default HP: 20.0
[00:00:03] [Server thread/INFO]: [STDOUT]: minecraft:zombie; HealthFactor: 3.1; DamageFactor: 3.1; Health: 62.0;  Old Health: 20.0; Default HP: 20.0
[00:00:03] [Server thread/INFO]: [STDOUT]: minecraft:skeleton; HealthFactor: 3.0; DamageFactor: 3.0; Health: 62.82;  Old Health: 20.0; Default HP: 20.0
[00:00:03] [Server thread/INFO]: [STDOUT]: minecraft:witch; HealthFactor: 3.1; DamageFactor: 3.1; Health: 80.60000000000001;  Old Health: 26.0; Default HP: 26.0
[00:00:04] [Server thread/INFO]: [STDOUT]: minecraft:creeper; HealthFactor: 3.0; DamageFactor: 3.0; Health: 60.0;  Old Health: 20.0; Default HP: 20.0
[00:00:04] [Server thread/INFO]: [STDOUT]: minecraft:zombie; HealthFactor: 2.9; DamageFactor: 2.9; Health: 58.0;  Old Health: 20.0; Default HP: 20.0
[00:00:04] [Server thread/INFO]: [STDOUT]: minecraft:creeper; HealthFactor: 2.9; DamageFactor: 2.9; Health: 58.0;  Old Health: 20.0; Default HP: 20.0
[00:00:04] [Server thread/INFO]: [STDOUT]: minecraft:glow_squid; HealthFactor: 3.11; DamageFactor: 3.11; Health: 31.099999999999998;  Old Health: 10.0; Default HP: 10.0
[00:00:05] [Server thread/INFO]: [STDOUT]: minecraft:skeleton; HealthFactor: 2.9; DamageFactor: 2.9; Health: 42.66;  Old Health: 20.0; Default HP: 20.0
[00:00:05] [Server thread/INFO]: [STDOUT]: minecraft:glow_squid; HealthFactor: 3.0; DamageFactor: 3.0; Health: 26.88;  Old Health: 10.0; Default HP: 10.0
[00:00:05] [Server thread/INFO]: [STDOUT]: minecraft:glow_squid; HealthFactor: 3.0; DamageFactor: 3.0; Health: 30.0;  Old Health: 10.0; Default HP: 10.0
[00:00:05] [Server thread/INFO]: [STDOUT]: minecraft:glow_squid; HealthFactor: 3.0; DamageFactor: 3.0; Health: 20.3;  Old Health: 10.0; Default HP: 10.0
